1,Attract,TM45
1,"Body Slam",Tutor
1,"Bullet Seed",TM09
1,Cut,HM01
1,"Double Team",TM32
1,Double-Edge,Tutor
1,Facade,TM42
1,Flash,HM05
1,Frustration,TM21
1,"Giga Drain",TM19
1,Growl,"Level 4"
1,Growth,"Level 32"
1,"Hidden Power",TM10
1,"Leech Seed","Level 7"
1,Mimic,Tutor
1,"Poison Powder","Level 15"
1,Protect,TM17
1,"Razor Leaf","Level 20"
1,Rest,TM44
1,Return,TM27
1,"Rock Smash",HM06
1,"Secret Power",TM43
1,"Sleep Powder","Level 15"
1,"Sludge Bomb",TM36
1,"Solar Beam","Level 46"
1,"Solar Beam",TM22
1,Strength,HM04
1,Substitute,Tutor
1,"Sunny Day",TM11
1,Swagger,Tutor
1,"Sweet Scent","Level 25"
1,Synthesis,"Level 39"
1,Tackle,"Level 1"
1,Toxic,TM06
1,"Vine Whip","Level 10"
10,"String Shot","Level 1"
10,Tackle,"Level 1"
100,Charge,"Level 1"
100,"Double Team",TM32
100,Explosion,"Level 46"
100,Facade,TM42
100,Flash,HM05
100,Frustration,TM21
100,"Hidden Power",TM10
100,"Light Screen","Level 37"
100,"Light Screen",TM16
100,Mimic,Tutor
100,"Mirror Coat","Level 49"
100,Protect,TM17
100,"Rain Dance",TM18
100,Rest,TM44
100,Return,TM27
100,Rollout,"Level 32"
100,Screech,"Level 8"
100,"Secret Power",TM43
100,Self-Destruct,"Level 27"
100,Self-Destruct,Tutor
100,"Shock Wave",TM34
100,"Sonic Boom","Level 15"
100,Spark,"Level 21"
100,Substitute,Tutor
100,Swagger,Tutor
100,Swift,"Level 42"
100,Tackle,"Level 1"
100,Taunt,TM12
100,Thief,TM46
100,"Thunder Wave",Tutor
100,Thunder,TM25
100,Thunderbolt,TM24
100,Torment,TM41
100,Toxic,TM06
101,Charge,"Level 1"
101,"Double Team",TM32
101,Explosion,"Level 54"
101,Facade,TM42
101,Flash,HM05
101,Frustration,TM21
101,"Hidden Power",TM10
101,"Hyper Beam",TM15
101,"Light Screen","Level 41"
101,"Light Screen",TM16
101,Mimic,Tutor
101,"Mirror Coat","Level 59"
101,Protect,TM17
101,"Rain Dance",TM18
101,Rest,TM44
101,Return,TM27
101,Rollout,"Level 34"
101,Screech,"Level 1"
101,Screech,"Level 8"
101,"Secret Power",TM43
101,Self-Destruct,"Level 27"
101,Self-Destruct,Tutor
101,"Shock Wave",TM34
101,"Sonic Boom","Level 1"
101,"Sonic Boom","Level 15"
101,Spark,"Level 21"
101,Substitute,Tutor
101,Swagger,Tutor
101,Swift,"Level 48"
101,Tackle,"Level 1"
101,Taunt,TM12
101,Thief,TM46
101,"Thunder Wave",Tutor
101,Thunder,TM25
101,Thunderbolt,TM24
101,Torment,TM41
101,Toxic,TM06
102,Attract,TM45
102,Barrage,"Level 1"
102,"Bullet Seed",TM09
102,Confusion,"Level 19"
102,"Double Team",TM32
102,Double-Edge,Tutor
102,"Dream Eater",Tutor
102,Facade,TM42
102,Flash,HM05
102,Frustration,TM21
102,"Giga Drain",TM19
102,"Hidden Power",TM10
102,Hypnosis,"Level 1"
102,"Leech Seed","Level 13"
102,"Light Screen",TM16
102,Mimic,Tutor
102,Nightmare,Tutor
102,"Poison Powder","Level 31"
102,Protect,TM17
102,Psychic,TM29
102,Reflect,"Level 7"
102,Reflect,TM33
102,Rest,TM44
102,Return,TM27
102,"Secret Power",TM43
102,Self-Destruct,Tutor
102,"Skill Swap",TM48
102,"Sleep Powder","Level 37"
102,"Sludge Bomb",TM36
102,"Solar Beam","Level 43"
102,"Solar Beam",TM22
102,Strength,HM04
102,"Stun Spore","Level 25"
102,Substitute,Tutor
102,"Sunny Day",TM11
102,Swagger,Tutor
102,Thief,TM46
102,Toxic,TM06
102,Uproar,"Level 1"
103,Attract,TM45
103,Barrage,"Level 1"
103,"Bullet Seed",TM09
103,Confusion,"Level 1"
103,"Double Team",TM32
103,Double-Edge,Tutor
103,"Dream Eater",Tutor
103,"Egg Bomb","Level 31"
103,Facade,TM42
103,Flash,HM05
103,Frustration,TM21
103,"Giga Drain",TM19
103,"Hidden Power",TM10
103,"Hyper Beam",TM15
103,Hypnosis,"Level 1"
103,"Light Screen",TM16
103,Mimic,Tutor
103,Nightmare,Tutor
103,Protect,TM17
103,Psychic,TM29
103,Reflect,TM33
103,Rest,TM44
103,Return,TM27
103,"Secret Power",TM43
103,Self-Destruct,Tutor
103,"Skill Swap",TM48
103,"Sludge Bomb",TM36
103,"Solar Beam",TM22
103,Stomp,"Level 19"
103,Strength,HM04
103,Substitute,Tutor
103,"Sunny Day",TM11
103,Swagger,Tutor
103,Thief,TM46
103,Toxic,TM06
104,"Aerial Ace",TM40
104,Attract,TM45
104,Blizzard,TM14
104,"Body Slam",Tutor
104,"Bone Club","Level 9"
104,"Bone Rush","Level 41"
104,Bonemerang,"Level 25"
104,"Brick Break",TM31
104,Dig,TM28
104,"Double Team",TM32
104,Double-Edge,"Level 45"
104,Double-Edge,Tutor
104,Earthquake,TM26
104,Facade,TM42
104,"False Swipe","Level 33"
104,"Fire Blast",TM38
104,Flamethrower,TM35
104,"Focus Energy","Level 21"
104,"Focus Punch",TM01
104,Frustration,TM21
104,Growl,"Level 1"
104,Headbutt,"Level 13"
104,"Hidden Power",TM10
104,"Ice Beam",TM13
104,"Icy Wind",Tutor
104,"Iron Tail",TM23
104,Leer,"Level 17"
104,Mimic,Tutor
104,Protect,TM17
104,Rage,"Level 29"
104,Rest,TM44
104,Return,TM27
